TERYT4;GENDER;AGE_GROUP;PREDICTED_CASES
213;M;<75-84>;0.459914097
213;M;85+;0.226081567
214;K;<0-44>;5.341226271
214;K;<45-54>;9.870130981
214;K;<55-64>;16.3148088
214;K;<65-74>;10.26922655
214;K;<75-84>;5.332155967
214;K;85+;1.565540027
214;M;<0-44>;1.040415003
214;M;<45-54>;1.042317589
214;M;<55-64>;1.637617952
214;M;<65-74>;1.809284046
214;M;<75-84>;1.115333515
214;M;85+;0.49696341
215;K;<0-44>;3.662957618
215;K;<45-54>;6.843897053
215;K;<55-64>;12.3949908
215;K;<65-74>;6.893068537
215;K;<75-84>;3.411997775
215;K;85+;1.071053176
215;M;<0-44>;0.664020324
215;M;<45-54>;0.638041592
215;M;<55-64>;1.11669684
215;M;<65-74>;1.242377267
215;M;<75-84>;0.735562676
215;M;85+;0.279101071
216;K;<0-44>;3.427534189
216;K;<45-54>;6.354347215
216;K;<55-64>;9.643461042
216;K;<65-74>;5.779496243
216;K;<75-84>;2.824372812
216;K;85+;0.915570057
216;M;<0-44>;0.44791059
216;M;<45-54>;0.46807555
216;M;<55-64>;0.6821789
216;M;<65-74>;0.726404768
216;M;<75-84>;0.408237742
216;M;85+;0.14066802
217;K;<0-44>;1.999660978
217;K;<45-54>;4.028660009
217;K;<55-64>;6.751204109
217;K;<65-74>;3.882355443
217;K;<75-84>;2.629270513
217;K;85+;0.86735027
217;M;<0-44>;0.378128891
217;M;<45-54>;0.41538865
217;M;<55-64>;0.680447015
217;M;<65-74>;0.618192707
217;M;<75-84>;0.475609497
217;M;85+;0.22098147
218;K;<0-44>;2.699045623
218;K;<45-54>;5.1789618
218;K;<55-64>;8.02959874
218;K;<65-74>;4.197287596
218;K;<75-84>;2.868369343
218;K;85+;0.902397685
218;M;<0-44>;0.448295956
218;M;<45-54>;0.458185094
218;M;<55-64>;0.734424773
218;M;<65-74>;0.639794498
218;M;<75-84>;0.430469938
218;M;85+;0.204713398
219;K;<0-44>;7.719977126
219;K;<45-54>;15.90750236
219;K;<55-64>;29.67164545
219;K;<65-74>;16.07827161
219;K;<75-84>;10.2270339
219;K;85+;3.171975929
219;M;<0-44>;1.406484063
219;M;<45-54>;1.522007191
219;M;<55-64>;2.685363402
219;M;<65-74>;2.567253012
219;M;<75-84>;1.822240458
219;M;85+;0.867036466
220;K;<0-44>;4.260960561
220;K;<45-54>;7.756987216
220;K;<55-64>;13.22178651
220;K;<65-74>;6.838186893
220;K;<75-84>;4.02503861
220;K;85+;1.503469709
220;M;<0-44>;0.85866264
220;M;<45-54>;0.86206567
220;M;<55-64>;1.441270773
220;M;<65-74>;1.390580348
220;M;<75-84>;0.801312441
220;M;85+;0.428326499
221;K;<0-44>;2.667642572
221;K;<45-54>;5.843884902
221;K;<55-64>;10.19933504
221;K;<65-74>;5.709694279
221;K;<75-84>;4.230788937
221;K;85+;1.32497216
221;M;<0-44>;0.549991687
221;M;<45-54>;0.641422562
221;M;<55-64>;1.101180396
221;M;<65-74>;1.010475282
221;M;<75-84>;0.8667935
221;M;85+;0.439665894
222;K;<0-44>;2.342569417
222;K;<45-54>;4.749239907
222;K;<55-64>;7.942363133
222;K;<65-74>;4.665334876
222;K;<75-84>;3.020291134
222;K;85+;0.892034666
222;M;<0-44>;0.395760176
222;M;<45-54>;0.441275874
222;M;<55-64>;0.721555645
222;M;<65-74>;0.673112953
222;M;<75-84>;0.506589741
222;M;85+;0.237533961
223;K;<0-44>;6.941744315
223;K;<45-54>;11.59687438
223;K;<55-64>;17.96291467
223;K;<65-74>;8.878577329
223;K;<75-84>;5.356644639
223;K;85+;2.082447839
223;M;<0-44>;1.08498307
223;M;<45-54>;1.011625831
223;M;<55-64>;1.549135993
223;M;<65-74>;1.477283257
223;M;<75-84>;0.90302422
223;M;85+;0.442465758
224;K;<0-44>;2.987209676
224;K;<45-54>;6.288753772
224;K;<55-64>;11.15256142
224;K;<65-74>;6.211416657
224;K;<75-84>;3.969094254
224;K;85+;1.542328739
224;M;<0-44>;0.60315511
224;M;<45-54>;0.675028079
224;M;<55-64>;1.175256181
224;M;<65-74>;1.166565461
224;M;<75-84>;0.783726741
224;M;85+;0.417118926
225;K;<0-44>;4.546872691
225;K;<45-54>;9.945354932
225;K;<55-64>;17.33007056
225;K;<65-74>;9.33634776
225;K;<75-84>;5.814347509
225;K;85+;1.790327301
225;M;<0-44>;0.823256473
225;M;<45-54>;0.933279651
225;M;<55-64>;1.547424199
225;M;<65-74>;1.556883211
225;M;<75-84>;1.075620357
225;M;85+;0.463795478
226;K;<0-44>;2.319569333
226;K;<45-54>;4.779722283
226;K;<55-64>;8.238919034
226;K;<65-74>;3.946389012
226;K;<75-84>;2.558695118
226;K;85+;0.828208534
226;M;<0-44>;0.387864453
226;M;<45-54>;0.407564281
226;M;<55-64>;0.757116768
226;M;<65-74>;0.605741349
226;M;<75-84>;0.388170929
226;M;85+;0.169805236
261;K;<0-44>;4.452373403
261;K;<45-54>;10.25421393
261;K;<55-64>;21.8909863
261;K;<65-74>;12.52170515
261;K;<75-84>;7.918431456
261;K;85+;2.369203975
261;M;<0-44>;0.446989967
261;M;<45-54>;0.503460433
261;M;<55-64>;1.026582668
261;M;<65-74>;1.101659894
261;M;<75-84>;0.848258046
261;M;85+;0.389862747
262;K;<0-44>;5.834443274
262;K;<45-54>;12.15903527
262;K;<55-64>;24.08165959
262;K;<65-74>;13.16864067
262;K;<75-84>;7.541768473
262;K;85+;2.154028738
262;M;<0-44>;0.645325078
262;M;<45-54>;0.660030136
262;M;<55-64>;1.242286584
262;M;<65-74>;1.269080906
262;M;<75-84>;0.858826504
262;M;85+;0.389407822
264;K;<0-44>;38.52100737
264;K;<45-54>;68.82215528
264;K;<55-64>;142.737772
264;K;<65-74>;89.20024721
264;K;<75-84>;55.87116104
264;K;85+;19.33755221
264;M;<0-44>;2.558984409
264;M;<45-54>;2.315338789
264;M;<55-64>;4.516589035
264;M;<65-74>;5.323241153
264;M;<75-84>;4.444711082
264;M;85+;2.521437491
401;K;<0-44>;2.737901976
401;K;<45-54>;5.687883666
401;K;<55-64>;9.06014438
401;K;<65-74>;6.024277859
401;K;<75-84>;3.349281102
401;K;85+;1.125887981
401;M;<0-44>;0.638623501
401;M;<45-54>;0.670191535
401;M;<55-64>;1.076771118
401;M;<65-74>;1.201041171
401;M;<75-84>;0.835482293
401;M;85+;0.378015591
402;K;<0-44>;4.06486956
402;K;<45-54>;7.458319708
402;K;<55-64>;10.8387926
402;K;<65-74>;6.446943468
402;K;<75-84>;4.040776279
402;K;85+;1.257871955
402;M;<0-44>;0.919883503
402;M;<45-54>;0.898537556
402;M;<55-64>;1.299466865
402;M;<65-74>;1.288819295
402;M;<75-84>;1.024749162
402;M;85+;0.418363328
403;K;<0-44>;6.221558484
403;K;<45-54>;11.50343957
403;K;<55-64>;16.12801854
403;K;<65-74>;8.973802467
403;K;<75-84>;4.40306864
403;K;85+;1.55523969
403;M;<0-44>;1.210005592
403;M;<45-54>;1.234961057
403;M;<55-64>;1.703848869
403;M;<65-74>;1.773464093
403;M;<75-84>;1.057706369
403;M;85+;0.45495744
404;K;<0-44>;2.699457734
404;K;<45-54>;5.21926171
404;K;<55-64>;7.868460735
404;K;<65-74>;4.551820121
404;K;<75-84>;2.563352215
404;K;85+;0.815406907
404;M;<0-44>;0.570363446
404;M;<45-54>;0.575356766
404;M;<55-64>;0.860769275
404;M;<65-74>;0.884116199
404;M;<75-84>;0.624652111
404;M;85+;0.267897906
405;K;<0-44>;2.349435489
405;K;<45-54>;4.40889513
405;K;<55-64>;6.310066039
405;K;<65-74>;3.908245857
405;K;<75-84>;2.413761197
405;K;85+;0.768146861
405;M;<0-44>;0.481356932
405;M;<45-54>;0.49487662
405;M;<55-64>;0.706143143
405;M;<65-74>;0.720751848
405;M;<75-84>;0.574413433
405;M;85+;0.236442898
406;K;<0-44>;2.084738114
406;K;<45-54>;3.993699106
406;K;<55-64>;5.38803737
406;K;<65-74>;3.22353515
406;K;<75-84>;1.772618189
406;K;85+;0.536987846
406;M;<0-44>;0.437770656
406;M;<45-54>;0.455357952
406;M;<55-64>;0.629404321
406;M;<65-74>;0.65898261
406;M;<75-84>;0.430504842
406;M;85+;0.200484741
407;K;<0-44>;8.1792573
407;K;<45-54>;18.08730479
407;K;<55-64>;27.84428988
407;K;<65-74>;17.26751949
407;K;<75-84>;9.241292458
407;K;85+;2.759374829
407;M;<0-44>;1.737815311
407;M;<45-54>;1.90223967
407;M;<55-64>;2.985730022
407;M;<65-74>;3.251521251
407;M;<75-84>;2.117497721
407;M;85+;0.926554837
408;K;<0-44>;3.512609504
408;K;<45-54>;6.578041589
408;K;<55-64>;9.339755915
408;K;<65-74>;5.64989543
408;K;<75-84>;3.684177943
408;K;85+;1.178327544
408;M;<0-44>;0.853230239
408;M;<45-54>;0.83302728
408;M;<55-64>;1.215171695
408;M;<65-74>;1.214765685
408;M;<75-84>;0.87340631
408;M;85+;0.392318733
409;K;<0-44>;2.429836003
409;K;<45-54>;4.988318695
409;K;<55-64>;7.407053244
409;K;<65-74>;4.661801994
409;K;<75-84>;2.503649206
409;K;85+;0.776226723
409;M;<0-44>;0.55247871
409;M;<45-54>;0.587770826
409;M;<55-64>;0.889164473
409;M;<65-74>;0.978923411
409;M;<75-84>;0.632883603
409;M;85+;0.263311436
410;K;<0-44>;4.794001207
410;K;<45-54>;8.96577234
410;K;<55-64>;13.70677256
410;K;<65-74>;7.713733439
410;K;<75-84>;4.392701663
410;K;85+;1.16632916
410;M;<0-44>;1.03221059
410;M;<45-54>;1.034579415
410;M;<55-64>;1.5464234
410;M;<65-74>;1.593528314
410;M;<75-84>;1.005484218
410;M;85+;0.465797619
411;K;<0-44>;2.036169617
411;K;<45-54>;4.398183282
411;K;<55-64>;6.13003867
411;K;<65-74>;4.169197916
411;K;<75-84>;2.617201056
411;K;85+;0.814534036
411;M;<0-44>;0.494568649
411;M;<45-54>;0.567385433
411;M;<55-64>;0.831226241
411;M;<65-74>;0.933353387
411;M;<75-84>;0.692356984
411;M;85+;0.32736965
412;K;<0-44>;2.265146252
412;K;<45-54>;4.375795773
412;K;<55-64>;6.684295525
412;K;<65-74>;4.150315344
412;K;<75-84>;2.568281737
412;K;85+;0.884093437
412;M;<0-44>;0.517101333
412;M;<45-54>;0.544316431
412;M;<55-64>;0.813246511
412;M;<65-74>;0.853343207
412;M;<75-84>;0.634390726
412;M;85+;0.307401547
413;K;<0-44>;2.196856379
413;K;<45-54>;4.104206128
413;K;<55-64>;6.232780697
413;K;<65-74>;3.55689207
413;K;<75-84>;2.26774372
413;K;85+;0.740546727
413;M;<0-44>;0.478992728
413;M;<45-54>;0.483311604
413;M;<55-64>;0.735143025
413;M;<65-74>;0.751667273
413;M;<75-84>;0.583847335
413;M;85+;0.23945765
414;K;<0-44>;5.166541769
414;K;<45-54>;9.918448375
414;K;<55-64>;15.71488685
414;K;<65-74>;8.734266668
414;K;<75-84>;4.714951043
414;K;85+;1.475194192
414;M;<0-44>;0.962448286
414;M;<45-54>;0.980619777
414;M;<55-64>;1.565228485
414;M;<65-74>;1.550199398
414;M;<75-84>;1.074124026
414;M;85+;0.419961696
415;K;<0-44>;5.623853608
415;K;<45-54>;9.637326895
415;K;<55-64>;13.64855154
415;K;<65-74>;7.11215411
415;K;<75-84>;4.146940863
415;K;85+;1.413141092
415;M;<0-44>;1.277671461
415;M;<45-54>;1.205111861
415;M;<55-64>;1.724995174
415;M;<65-74>;1.632983152
415;M;<75-84>;1.104397068
415;M;85+;0.494492357
416;K;<0-44>;2.466798402
416;K;<45-54>;4.738173767
416;K;<55-64>;7.137051057
416;K;<65-74>;3.938989463
416;K;<75-84>;2.344384501
416;K;85+;0.758659529
416;M;<0-44>;0.591251506
416;M;<45-54>;0.622071611
416;M;<55-64>;0.931403672
416;M;<65-74>;0.903322552
416;M;<75-84>;0.640821024
416;M;85+;0.246787285
417;K;<0-44>;1.758483723
417;K;<45-54>;3.340699137
417;K;<55-64>;5.240805706
417;K;<65-74>;3.173407588
417;K;<75-84>;1.961496135
417;K;85+;0.575536028
417;M;<0-44>;0.366930584
417;M;<45-54>;0.383324883
417;M;<55-64>;0.583722897
417;M;<65-74>;0.586601947
417;M;<75-84>;0.437939244
417;M;85+;0.221929216
418;K;<0-44>;4.362494134
418;K;<45-54>;9.078947536
418;K;<55-64>;12.5225359
418;K;<65-74>;8.001551434
418;K;<75-84>;5.089991187
418;K;85+;1.785285981
418;M;<0-44>;1.040540417
418;M;<45-54>;1.188976939
418;M;<55-64>;1.689845139
418;M;<65-74>;1.786595325
418;M;<75-84>;1.338101803
418;M;85+;0.630457428
419;K;<0-44>;3.732370095
419;K;<45-54>;7.218964353
419;K;<55-64>;11.96943923
419;K;<65-74>;6.715039788
419;K;<75-84>;3.541195623
419;K;85+;1.117733987
419;M;<0-44>;0.892317206
419;M;<45-54>;0.895907093
419;M;<55-64>;1.461653176
419;M;<65-74>;1.603198542
419;M;<75-84>;1.033802393
419;M;85+;0.482702117
461;K;<0-44>;21.67477398
461;K;<45-54>;43.98100996
461;K;<55-64>;84.58659511
461;K;<65-74>;55.86745357
461;K;<75-84>;30.51981158
461;K;85+;9.494398416
461;M;<0-44>;1.92126279
461;M;<45-54>;1.956795778
461;M;<55-64>;3.563687752
461;M;<65-74>;4.426870263
461;M;<75-84>;3.313317087
461;M;85+;1.610176444
462;K;<0-44>;5.429322338
462;K;<45-54>;12.08405742
462;K;<55-64>;21.0910873
462;K;<65-74>;12.84807744
462;K;<75-84>;7.161842077
462;K;85+;1.993121033
462;M;<0-44>;0.662693215
462;M;<45-54>;0.71640582
462;M;<55-64>;1.211667386
462;M;<65-74>;1.318018247
462;M;<75-84>;0.950013665
462;M;85+;0.398770185
463;K;<0-44>;12.815512
463;K;<45-54>;24.90176933
463;K;<55-64>;47.33131379
463;K;<65-74>;28.76528979
463;K;<75-84>;14.61411556
463;K;85+;4.800742171
463;M;<0-44>;1.035149
463;M;<45-54>;0.976813599
463;M;<55-64>;1.799192515
463;M;<65-74>;2.051526527
463;M;<75-84>;1.473888548
463;M;85+;0.658111018
464;K;<0-44>;6.666633234
464;K;<45-54>;14.70957524
464;K;<55-64>;28.4374437
464;K;<65-74>;17.09677207
464;K;<75-84>;8.274921672
464;K;85+;2.521488834
464;M;<0-44>;0.664571981
464;M;<45-54>;0.684424794
464;M;<55-64>;1.237405519
464;M;<65-74>;1.516343641
464;M;<75-84>;0.91212072
464;M;85+;0.353934145
601;K;<0-44>;4.880562166
601;K;<45-54>;9.066731861
601;K;<55-64>;12.81044114
601;K;<65-74>;9.288871925
601;K;<75-84>;6.500905201
601;K;85+;2.235481581
601;M;<0-44>;1.146401913
601;M;<45-54>;1.185261671
601;M;<55-64>;1.609172551
601;M;<65-74>;1.74473151
601;M;<75-84>;1.785206301
601;M;85+;0.967301144
602;K;<0-44>;4.185984887
602;K;<45-54>;8.116871603
602;K;<55-64>;12.21153001
602;K;<65-74>;8.02784693
602;K;<75-84>;5.735777074
602;K;85+;1.841985285
602;M;<0-44>;0.917814289
602;M;<45-54>;0.951512676
602;M;<55-64>;1.347231085
602;M;<65-74>;1.573681943
602;M;<75-84>;1.296684868
602;M;85+;0.642086406
603;K;<0-44>;3.544833071
603;K;<45-54>;6.727346982
603;K;<55-64>;10.05371258
603;K;<65-74>;6.55210079
603;K;<75-84>;4.765010926
603;K;85+;1.666105417
603;M;<0-44>;0.801996043
603;M;<45-54>;0.830994891
603;M;<55-64>;1.245325202
603;M;<65-74>;1.248145407
603;M;<75-84>;1.000721327
603;M;85+;0.557560404
604;K;<0-44>;2.825130631
604;K;<45-54>;5.904651144
604;K;<55-64>;9.330243742
604;K;<65-74>;6.607223448
604;K;<75-84>;4.390505047
604;K;85+;1.396983528
604;M;<0-44>;0.61223565
604;M;<45-54>;0.665535856
604;M;<55-64>;1.038123112
604;M;<65-74>;1.222894817
604;M;<75-84>;1.002985505
604;M;85+;0.492732959
605;K;<0-44>;1.855931757
605;K;<45-54>;3.637859879
605;K;<55-64>;5.089030277
605;K;<65-74>;3.982647056
605;K;<75-84>;2.757256782
605;K;85+;0.811933165
605;M;<0-44>;0.404055081
605;M;<45-54>;0.438613671
605;M;<55-64>;0.610329291
605;M;<65-74>;0.77077472
605;M;<75-84>;0.620883151
605;M;85+;0.323934023
606;K;<0-44>;2.625512091
606;K;<45-54>;5.363553619
606;K;<55-64>;9.497751545
606;K;<65-74>;6.914002981
606;K;<75-84>;4.695812652
606;K;85+;1.645410867
606;M;<0-44>;0.569725793
606;M;<45-54>;0.607453496
606;M;<55-64>;1.019709924
606;M;<65-74>;1.229734502
606;M;<75-84>;1.03450567
606;M;85+;0.599108578
607;K;<0-44>;3.838851056
607;K;<45-54>;7.538935788
607;K;<55-64>;12.19539122
607;K;<65-74>;8.538811425
607;K;<75-84>;5.719823574
607;K;85+;1.792704652
607;M;<0-44>;0.88189715
607;M;<45-54>;0.924812209
607;M;<55-64>;1.450152786
607;M;<65-74>;1.701183937
607;M;<75-84>;1.506194427
607;M;85+;0.794541269
608;K;<0-44>;3.963451575
608;K;<45-54>;7.262266781
608;K;<55-64>;11.56191762
608;K;<65-74>;7.72539624
608;K;<75-84>;5.069720662
608;K;85+;1.772775344
608;M;<0-44>;0.899756489
608;M;<45-54>;0.891846679
608;M;<55-64>;1.335657337
608;M;<65-74>;1.518154019
608;M;<75-84>;1.131887229
608;M;85+;0.612184207
609;K;<0-44>;6.632679358
609;K;<45-54>;11.94475643
609;K;<55-64>;17.30583243
609;K;<65-74>;11.83082293
609;K;<75-84>;7.337077806
609;K;85+;2.511100391
609;M;<0-44>;1.44538775
609;M;<45-54>;1.41998648
609;M;<55-64>;2.01230607
609;M;<65-74>;2.299621622
609;M;<75-84>;1.697209181
609;M;85+;0.896031335
610;K;<0-44>;2.968800188
610;K;<45-54>;6.162056637
610;K;<55-64>;8.128665615
610;K;<65-74>;4.186731409
610;K;<75-84>;2.637495082
610;K;85+;0.878171738
610;M;<0-44>;0.226353713
610;M;<45-54>;0.235926916
610;M;<55-64>;0.330743535
610;M;<65-74>;0.293154489
610;M;<75-84>;0.191405377
610;M;85+;0.098060795
611;K;<0-44>;4.93535944
611;K;<45-54>;8.455701839
611;K;<55-64>;12.69091723
611;K;<65-74>;8.647584903
611;K;<75-84>;5.466298435
611;K;85+;1.928595003
611;M;<0-44>;1.20324443
611;M;<45-54>;1.116582287
611;M;<55-64>;1.562098286
611;M;<65-74>;1.907143472
611;M;<75-84>;1.458767812
611;M;85+;0.789722474
612;K;<0-44>;2.490255084
612;K;<45-54>;4.756461664
612;K;<55-64>;7.960633595
612;K;<65-74>;5.442454463
612;K;<75-84>;3.409211797
612;K;85+;1.156260362
612;M;<0-44>;0.55703076
612;M;<45-54>;0.566920761
612;M;<55-64>;0.94654893
612;M;<65-74>;1.054562288
612;M;<75-84>;0.804814695
612;M;85+;0.397989454
613;K;<0-44>;1.506551144
613;K;<45-54>;2.930060855
613;K;<55-64>;4.889700126
613;K;<65-74>;3.26251615
613;K;<75-84>;2.088353424
613;K;85+;0.823312495
613;M;<0-44>;0.344481478
613;M;<45-54>;0.362412527
613;M;<55-64>;0.552510863
613;M;<65-74>;0.627117275
613;M;<75-84>;0.518957691
613;M;85+;0.340044202
614;K;<0-44>;4.874932944
614;K;<45-54>;10.53860085
614;K;<55-64>;16.91201412
614;K;<65-74>;13.39074171
614;K;<75-84>;6.781821681
614;K;85+;2.153509836
614;M;<0-44>;0.733622917
614;M;<45-54>;0.802206982
614;M;<55-64>;1.206952713
614;M;<65-74>;1.700350218
614;M;<75-84>;1.231568482
614;M;85+;0.586028317
615;K;<0-44>;2.632675834
615;K;<45-54>;5.019077098
615;K;<55-64>;7.643618032
615;K;<65-74>;4.937480179
615;K;<75-84>;3.302134253
615;K;85+;1.099774526
615;M;<0-44>;0.569861509
615;M;<45-54>;0.568112112
615;M;<55-64>;0.817638719
615;M;<65-74>;0.928084861
615;M;<75-84>;0.776463719
615;M;85+;0.420332258
616;K;<0-44>;2.422914262
616;K;<45-54>;4.951014045
616;K;<55-64>;8.18026123
616;K;<65-74>;5.040529397
616;K;<75-84>;3.166612693
616;K;85+;1.087198827
616;M;<0-44>;0.565744115
616;M;<45-54>;0.554963561
616;M;<55-64>;0.911225443
616;M;<65-74>;1.03149667
616;M;<75-84>;0.785282549
616;M;85+;0.417345708
617;K;<0-44>;3.157397276
617;K;<45-54>;6.179298208
617;K;<55-64>;10.94818556
617;K;<65-74>;7.750519932
617;K;<75-84>;3.980201594
617;K;85+;1.182303888
617;M;<0-44>;0.509499541
617;M;<45-54>;0.522623514
617;M;<55-64>;0.844797906
617;M;<65-74>;1.086619025
617;M;<75-84>;0.797384969
617;M;85+;0.329126503
618;K;<0-44>;3.588874871
618;K;<45-54>;7.228512776
618;K;<55-64>;10.98737323
618;K;<65-74>;7.6376616
618;K;<75-84>;5.226302069
618;K;85+;1.714689013
618;M;<0-44>;0.853435931
618;M;<45-54>;0.94187694
618;M;<55-64>;1.35187515
618;M;<65-74>;1.573445802
618;M;<75-84>;1.256072491
618;M;85+;0.693504122
619;K;<0-44>;1.686103134
619;K;<45-54>;3.437612158
619;K;<55-64>;5.701648497
619;K;<65-74>;3.44879652
619;K;<75-84>;2.178980725
619;K;85+;0.721155911
619;M;<0-44>;0.378766529
619;M;<45-54>;0.399642491
619;M;<55-64>;0.633325935
619;M;<65-74>;0.650132801
619;M;<75-84>;0.499009293
619;M;85+;0.24889827
620;K;<0-44>;4.489934043
620;K;<45-54>;8.850831951
620;K;<55-64>;12.4626636
620;K;<65-74>;9.565190327
620;K;<75-84>;6.86063482
620;K;85+;2.50188846
620;M;<0-44>;1.089318526
620;M;<45-54>;1.208761644
620;M;<55-64>;1.684282019
620;M;<65-74>;1.992160829
620;M;<75-84>;1.771899926
620;M;85+;1.017841423
661;K;<0-44>;3.05598145
661;K;<45-54>;6.609241418
661;K;<55-64>;11.10669627
661;K;<65-74>;5.014670575
661;K;<75-84>;2.697983331
661;K;85+;0.817974422
661;M;<0-44>;0.30098027
661;M;<45-54>;0.293769273
661;M;<55-64>;0.477648908
661;M;<65-74>;0.47048088
661;M;<75-84>;0.294006999
661;M;85+;0.135369979
662;K;<0-44>;3.363511105
662;K;<45-54>;7.74780674
662;K;<55-64>;14.06241008
662;K;<65-74>;7.622828411
662;K;<75-84>;3.847112639
662;K;85+;1.214385772
662;M;<0-44>;0.376540048
662;M;<45-54>;0.392124641
662;M;<55-64>;0.674650745
662;M;<65-74>;0.719799729
662;M;<75-84>;0.492535214
662;M;85+;0.20837096
663;K;<0-44>;18.43885517
663;K;<45-54>;36.03672371
663;K;<55-64>;66.4297454
663;K;<65-74>;44.87186742
663;K;<75-84>;23.14394257
663;K;85+;7.042328209
663;M;<0-44>;1.404446235
663;M;<45-54>;1.363287807
663;M;<55-64>;2.313143086
663;M;<65-74>;2.894762689
663;M;<75-84>;2.135208005
